substring,family,log10_span_cost,action,note,params
.a.b.c.d.e.f.g.h.i.j,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""a"",""length"":10}"
.b.c.d.e.f.g.h.i.j.k,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""b"",""length"":10}"
.c.d.e.f.g.h.i.j.k.l,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""c"",""length"":10}"
.d.e.f.g.h.i.j.k.l.m,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""d"",""length"":10}"
.e.f.g.h.i.j.k.l.m.n,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""e"",""length"":10}"
.f.g.h.i.j.k.l.m.n.o,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""f"",""length"":10}"
.g.h.i.j.k.l.m.n.o.p,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""g"",""length"":10}"
.h.i.j.k.l.m.n.o.p.q,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""h"",""length"":10}"
.i.j.k.l.m.n.o.p.q.r,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""i"",""length"":10}"
.j.k.l.m.n.o.p.q.r.s,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""j"",""length"":10}"
.k.l.m.n.o.p.q.r.s.t,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""k"",""length"":10}"
.l.m.n.o.p.q.r.s.t.u,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""l"",""length"":10}"
.m.n.o.p.q.r.s.t.u.v,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""m"",""length"":10}"
.n.o.p.q.r.s.t.u.v.w,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""n"",""length"":10}"
.o.p.q.r.s.t.u.v.w.x,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""o"",""length"":10}"
.p.q.r.s.t.u.v.w.x.y,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""p"",""length"":10}"
.q.r.s.t.u.v.w.x.y.z,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""."",""start_letter"":""q"",""length"":10}"
0a0b0c0d0e0f0g0h0i0j,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""a"",""length"":10}"
0b0c0d0e0f0g0h0i0j0k,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""b"",""length"":10}"
0c0d0e0f0g0h0i0j0k0l,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""c"",""length"":10}"
0d0e0f0g0h0i0j0k0l0m,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""d"",""length"":10}"
0e0f0g0h0i0j0k0l0m0n,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""e"",""length"":10}"
0f0g0h0i0j0k0l0m0n0o,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""f"",""length"":10}"
0g0h0i0j0k0l0m0n0o0p,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""g"",""length"":10}"
0h0i0j0k0l0m0n0o0p0q,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""h"",""length"":10}"
0i0j0k0l0m0n0o0p0q0r,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""i"",""length"":10}"
0j0k0l0m0n0o0p0q0r0s,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""j"",""length"":10}"
0k0l0m0n0o0p0q0r0s0t,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""k"",""length"":10}"
0l0m0n0o0p0q0r0s0t0u,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""l"",""length"":10}"
0m0n0o0p0q0r0s0t0u0v,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""m"",""length"":10}"
0n0o0p0q0r0s0t0u0v0w,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""n"",""length"":10}"
0o0p0q0r0s0t0u0v0w0x,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""o"",""length"":10}"
0p0q0r0s0t0u0v0w0x0y,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""p"",""length"":10}"
0q0r0s0t0u0v0w0x0y0z,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""0"",""start_letter"":""q"",""length"":10}"
1a1b1c1d1e1f1g1h1i1j,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""a"",""length"":10}"
1b1c1d1e1f1g1h1i1j1k,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""b"",""length"":10}"
1c1d1e1f1g1h1i1j1k1l,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""c"",""length"":10}"
1d1e1f1g1h1i1j1k1l1m,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""d"",""length"":10}"
1e1f1g1h1i1j1k1l1m1n,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""e"",""length"":10}"
1f1g1h1i1j1k1l1m1n1o,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""f"",""length"":10}"
1g1h1i1j1k1l1m1n1o1p,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""g"",""length"":10}"
1h1i1j1k1l1m1n1o1p1q,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""h"",""length"":10}"
1i1j1k1l1m1n1o1p1q1r,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""i"",""length"":10}"
1j1k1l1m1n1o1p1q1r1s,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""j"",""length"":10}"
1k1l1m1n1o1p1q1r1s1t,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""k"",""length"":10}"
1l1m1n1o1p1q1r1s1t1u,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""l"",""length"":10}"
1m1n1o1p1q1r1s1t1u1v,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""m"",""length"":10}"
1n1o1p1q1r1s1t1u1v1w,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""n"",""length"":10}"
1o1p1q1r1s1t1u1v1w1x,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""o"",""length"":10}"
1p1q1r1s1t1u1v1w1x1y,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""p"",""length"":10}"
1q1r1s1t1u1v1w1x1y1z,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""1"",""start_letter"":""q"",""length"":10}"
2a2b2c2d2e2f2g2h2i2j,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""a"",""length"":10}"
2b2c2d2e2f2g2h2i2j2k,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""b"",""length"":10}"
2c2d2e2f2g2h2i2j2k2l,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""c"",""length"":10}"
2d2e2f2g2h2i2j2k2l2m,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""d"",""length"":10}"
2e2f2g2h2i2j2k2l2m2n,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""e"",""length"":10}"
2f2g2h2i2j2k2l2m2n2o,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""f"",""length"":10}"
2g2h2i2j2k2l2m2n2o2p,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""g"",""length"":10}"
2h2i2j2k2l2m2n2o2p2q,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""h"",""length"":10}"
2i2j2k2l2m2n2o2p2q2r,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""i"",""length"":10}"
2j2k2l2m2n2o2p2q2r2s,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""j"",""length"":10}"
2k2l2m2n2o2p2q2r2s2t,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""k"",""length"":10}"
2l2m2n2o2p2q2r2s2t2u,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""l"",""length"":10}"
2m2n2o2p2q2r2s2t2u2v,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""m"",""length"":10}"
2n2o2p2q2r2s2t2u2v2w,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""n"",""length"":10}"
2o2p2q2r2s2t2u2v2w2x,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""o"",""length"":10}"
2p2q2r2s2t2u2v2w2x2y,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""p"",""length"":10}"
2q2r2s2t2u2v2w2x2y2z,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""2"",""start_letter"":""q"",""length"":10}"
3a3b3c3d3e3f3g3h3i3j,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""a"",""length"":10}"
3b3c3d3e3f3g3h3i3j3k,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""b"",""length"":10}"
3c3d3e3f3g3h3i3j3k3l,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""c"",""length"":10}"
3d3e3f3g3h3i3j3k3l3m,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""d"",""length"":10}"
3e3f3g3h3i3j3k3l3m3n,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""e"",""length"":10}"
3f3g3h3i3j3k3l3m3n3o,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""f"",""length"":10}"
3g3h3i3j3k3l3m3n3o3p,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""g"",""length"":10}"
3h3i3j3k3l3m3n3o3p3q,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""h"",""length"":10}"
3i3j3k3l3m3n3o3p3q3r,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""i"",""length"":10}"
3j3k3l3m3n3o3p3q3r3s,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""j"",""length"":10}"
3k3l3m3n3o3p3q3r3s3t,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""k"",""length"":10}"
3l3m3n3o3p3q3r3s3t3u,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""l"",""length"":10}"
3m3n3o3p3q3r3s3t3u3v,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""m"",""length"":10}"
3n3o3p3q3r3s3t3u3v3w,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""n"",""length"":10}"
3o3p3q3r3s3t3u3v3w3x,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""o"",""length"":10}"
3p3q3r3s3t3u3v3w3x3y,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""p"",""length"":10}"
3q3r3s3t3u3v3w3x3y3z,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""3"",""start_letter"":""q"",""length"":10}"
4a4b4c4d4e4f4g4h4i4j,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""a"",""length"":10}"
4b4c4d4e4f4g4h4i4j4k,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""b"",""length"":10}"
4c4d4e4f4g4h4i4j4k4l,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""c"",""length"":10}"
4d4e4f4g4h4i4j4k4l4m,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""d"",""length"":10}"
4e4f4g4h4i4j4k4l4m4n,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""e"",""length"":10}"
4f4g4h4i4j4k4l4m4n4o,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""f"",""length"":10}"
4g4h4i4j4k4l4m4n4o4p,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""g"",""length"":10}"
4h4i4j4k4l4m4n4o4p4q,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""h"",""length"":10}"
4i4j4k4l4m4n4o4p4q4r,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""i"",""length"":10}"
4j4k4l4m4n4o4p4q4r4s,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""j"",""length"":10}"
4k4l4m4n4o4p4q4r4s4t,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""k"",""length"":10}"
4l4m4n4o4p4q4r4s4t4u,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""l"",""length"":10}"
4m4n4o4p4q4r4s4t4u4v,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""m"",""length"":10}"
4n4o4p4q4r4s4t4u4v4w,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""n"",""length"":10}"
4o4p4q4r4s4t4u4v4w4x,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""o"",""length"":10}"
4p4q4r4s4t4u4v4w4x4y,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""p"",""length"":10}"
4q4r4s4t4u4v4w4x4y4z,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""4"",""start_letter"":""q"",""length"":10}"
5a5b5c5d5e5f5g5h5i5j,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""5"",""start_letter"":""a"",""length"":10}"
5b5c5d5e5f5g5h5i5j5k,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""5"",""start_letter"":""b"",""length"":10}"
5c5d5e5f5g5h5i5j5k5l,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""5"",""start_letter"":""c"",""length"":10}"
5d5e5f5g5h5i5j5k5l5m,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""5"",""start_letter"":""d"",""length"":10}"
5e5f5g5h5i5j5k5l5m5n,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""5"",""start_letter"":""e"",""length"":10}"
5f5g5h5i5j5k5l5m5n5o,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""5"",""start_letter"":""f"",""length"":10}"
5g5h5i5j5k5l5m5n5o5p,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""5"",""start_letter"":""g"",""length"":10}"
5h5i5j5k5l5m5n5o5p5q,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""5"",""start_letter"":""h"",""length"":10}"
5i5j5k5l5m5n5o5p5q5r,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""5"",""start_letter"":""i"",""length"":10}"
5j5k5l5m5n5o5p5q5r5s,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""5"",""start_letter"":""j"",""length"":10}"
5k5l5m5n5o5p5q5r5s5t,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""5"",""start_letter"":""k"",""length"":10}"
5l5m5n5o5p5q5r5s5t5u,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""5"",""start_letter"":""l"",""length"":10}"
5m5n5o5p5q5r5s5t5u5v,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""5"",""start_letter"":""m"",""length"":10}"
5n5o5p5q5r5s5t5u5v5w,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""5"",""start_letter"":""n"",""length"":10}"
5o5p5q5r5s5t5u5v5w5x,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""5"",""start_letter"":""o"",""length"":10}"
5p5q5r5s5t5u5v5w5x5y,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""5"",""start_letter"":""p"",""length"":10}"
5q5r5s5t5u5v5w5x5y5z,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""5"",""start_letter"":""q"",""length"":10}"
6a6b6c6d6e6f6g6h6i6j,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""6"",""start_letter"":""a"",""length"":10}"
6b6c6d6e6f6g6h6i6j6k,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""6"",""start_letter"":""b"",""length"":10}"
6c6d6e6f6g6h6i6j6k6l,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""6"",""start_letter"":""c"",""length"":10}"
6d6e6f6g6h6i6j6k6l6m,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""6"",""start_letter"":""d"",""length"":10}"
6e6f6g6h6i6j6k6l6m6n,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""6"",""start_letter"":""e"",""length"":10}"
6f6g6h6i6j6k6l6m6n6o,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""6"",""start_letter"":""f"",""length"":10}"
6g6h6i6j6k6l6m6n6o6p,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""6"",""start_letter"":""g"",""length"":10}"
6h6i6j6k6l6m6n6o6p6q,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""6"",""start_letter"":""h"",""length"":10}"
6i6j6k6l6m6n6o6p6q6r,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""6"",""start_letter"":""i"",""length"":10}"
6j6k6l6m6n6o6p6q6r6s,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""6"",""start_letter"":""j"",""length"":10}"
6k6l6m6n6o6p6q6r6s6t,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""6"",""start_letter"":""k"",""length"":10}"
6l6m6n6o6p6q6r6s6t6u,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""6"",""start_letter"":""l"",""length"":10}"
6m6n6o6p6q6r6s6t6u6v,alphabet_fixed_prefix,3.000,score_only,"Alphabet progression with the same prefix before each letter, e.g. 1a1b1c1d.","{""fixed"":""6"",""start_letter"":""m"",""length"":10}"
